age[x],q[x],q[x]+1,q[x]+2,q[x]+3,qx+4
-4,0,0,0,0,0.26
-3,0,0,0,0.234,0.14
-2,0,0,0.208,0.126,0.09
-1,0,0.182,0.112,0.081,0.08
0,0.156,0.098,0.072,0.072,0.08
1,0.084,0.063,0.064,0.072,0.09
2,0.054,0.056,0.064,0.081,0.09
3,0.048,0.056,0.072,0.081,0.08
4,0.048,0.063,0.072,0.072,0.08
5,0.054,0.063,0.064,0.072,0.08
6,0.054,0.056,0.064,0.072,0.09
7,0.048,0.056,0.064,0.081,0.09
8,0.048,0.056,0.072,0.081,0.08
9,0.048,0.063,0.072,0.072,0.09
10,0.054,0.063,0.064,0.081,0.15
11,0.054,0.056,0.072,0.135,0.23
12,0.048,0.063,0.12,0.207,0.3
13,0.054,0.105,0.184,0.27,0.33
14,0.09,0.161,0.24,0.297,0.33
15,0.138,0.21,0.264,0.297,0.33
16,0.18,0.231,0.264,0.297,0.32
17,0.198,0.231,0.264,0.288,0.32
18,0.198,0.231,0.256,0.288,0.33
19,0.198,0.224,0.256,0.297,0.36
20,0.192,0.224,0.264,0.324,0.4
21,0.192,0.231,0.288,0.36,0.4
22,0.198,0.252,0.32,0.36,0.41
23,0.216,0.28,0.32,0.369,0.41
24,0.24,0.28,0.328,0.369,0.43
25,0.24,0.287,0.328,0.387,0.46
26,0.246,0.287,0.344,0.414,0.49
27,0.246,0.301,0.368,0.441,0.53
28,0.258,0.322,0.392,0.477,0.57
29,0.276,0.343,0.424,0.513,0.62
30,0.294,0.371,0.456,0.558,0.69
31,0.318,0.399,0.496,0.621,0.77
32,0.342,0.434,0.552,0.693,0.86
33,0.372,0.483,0.616,0.774,0.95
34,0.414,0.539,0.688,0.855,1.04
35,0.462,0.602,0.76,0.936,1.11
36,0.516,0.665,0.832,0.999,1.17
37,0.57,0.728,0.888,1.053,1.22
38,0.624,0.777,0.936,1.098,1.26
39,0.666,0.819,0.976,1.134,1.31
40,0.702,0.854,1.008,1.179,1.36
41,0.732,0.882,1.048,1.224,1.44
42,0.756,0.917,1.088,1.296,1.55
43,0.786,0.952,1.152,1.395,1.67
44,0.816,1.008,1.24,1.503,1.8
45,0.864,1.085,1.336,1.62,1.94
46,0.93,1.169,1.44,1.746,2.11
47,1.002,1.26,1.552,1.899,2.28
48,1.08,1.358,1.688,2.052,2.48
49,1.164,1.477,1.824,2.232,2.71
50,1.266,1.596,1.984,2.439,2.95
51,1.368,1.736,2.168,2.655,3.22
52,1.488,1.897,2.36,2.898,3.53
53,1.626,2.065,2.576,3.177,3.87
54,1.77,2.254,2.824,3.483,4.26
55,1.932,2.471,3.096,3.834,4.69
56,2.118,2.709,3.408,4.221,5.19
57,2.322,2.982,3.752,4.671,5.75
58,2.556,3.283,4.152,5.175,6.39
59,2.814,3.633,4.6,5.751,7.1
60,3.114,4.025,5.112,6.39,7.89
61,3.45,4.473,5.68,7.101,8.77
62,3.834,4.97,6.312,7.893,9.75
63,4.26,5.523,7.016,8.775,10.84
64,4.734,6.139,7.8,9.756,12.03
65,5.262,6.825,8.672,10.827,13.35
66,5.85,7.588,9.624,12.015,14.78
67,6.504,8.421,10.68,13.302,16.35
68,7.218,9.345,11.824,14.715,18.06
69,8.01,10.346,13.08,16.254,19.97
70,8.868,11.445,14.448,17.973,22.1
71,9.81,12.642,15.976,19.89,24.51
72,10.836,13.979,17.68,22.059,27.25
73,11.982,15.47,19.608,24.525,30.34
74,13.26,17.157,21.8,27.306,33.81
75,14.706,19.075,24.272,30.429,37.74
76,16.35,21.238,27.048,33.966,42.32
77,18.204,23.667,30.192,38.088,47.67
78,20.286,26.418,33.856,42.903,53.73
79,22.644,29.624,38.136,48.357,60.66
80,25.392,33.369,42.984,54.594,68.59
81,28.602,37.611,48.528,61.731,77.66
82,32.238,42.462,54.872,69.894,87.75
83,36.396,48.013,62.128,78.975,98.76
84,41.154,54.362,70.2,88.884,110.84
85,46.596,61.425,79.008,99.756,123.97
86,52.65,69.132,88.672,111.573,137.92
87,59.256,77.588,99.176,124.128,152.67
88,66.504,86.779,110.336,137.403,168.39
89,74.382,96.544,122.136,151.551,184.49
90,82.752,106.869,134.712,166.041,200.89
91,91.602,117.873,147.592,180.801,219.64
92,101.034,129.143,160.712,197.676,241.41
93,110.694,140.623,175.712,217.269,264.93
94,120.534,153.748,193.128,238.437,289.97
95,131.784,168.987,211.944,260.973,316.12
96,144.846,185.451,231.976,284.508,342.18
97,158.958,202.979,252.896,307.962,367.26
98,173.982,221.284,273.744,330.534,391.91
99,189.672,239.526,293.808,352.719,415.72
100,205.308,257.082,313.528,374.148,438.29
101,220.356,274.337,332.576,394.461,459.24
102,235.146,291.004,350.632,413.316,481.09
103,249.432,306.803,367.392,432.981,507.27
104,262.974,321.468,384.872,456.543,534.85
105,275.544,336.763,405.816,481.365,563.89
106,288.654,355.089,427.88,507.501,594.47
107,304.362,374.395,451.112,535.023,626.65
108,320.91,394.723,475.576,563.985,660.51
109,338.334,416.129,501.32,594.459,696.12
110,356.682,438.655,528.408,626.508,733.55
111,375.99,462.357,556.896,660.195,772.88
112,396.306,487.284,586.84,695.592,814.18
113,417.672,513.485,618.304,732.762,857.5
114,440.13,541.016,651.344,771.75,902.89
115,463.728,569.926,686,812.601,950.39
116,488.508,600.25,722.312,855.351,1000
